position,category,stat,display_name,definition,reverse_quantile,category_definition
field,Finishing,Standard_Gls,Goals,The number of standard goals scored by the player.,False,"Goal threat and shot efficiency — e.g., goals, shots, shots on target, shot quality."
field,Finishing,Standard_Sh,Shots,The total number of standard shots attempted by the player.,False,"Goal threat and shot efficiency — e.g., goals, shots, shots on target, shot quality."
field,Finishing,Standard_SoT,Shots on Target,The number of standard shots on target made by the player.,False,"Goal threat and shot efficiency — e.g., goals, shots, shots on target, shot quality."
field,Finishing,Standard_SoT%,Shot on Target %,Percentage of standard shots on target compared to total standard shots.,False,"Goal threat and shot efficiency — e.g., goals, shots, shots on target, shot quality."
field,Finishing,Standard_Sh/90,Shots per 90,Number of standard shots per 90 minutes played.,False,"Goal threat and shot efficiency — e.g., goals, shots, shots on target, shot quality."
field,Finishing,Standard_SoT/90,Shots on Target per 90,Number of standard shots on target per 90 minutes played.,False,"Goal threat and shot efficiency — e.g., goals, shots, shots on target, shot quality."
field,Finishing,Standard_G/Sh,Goals per Shot,Number of goals scored per standard shot attempted by the player.,False,"Goal threat and shot efficiency — e.g., goals, shots, shots on target, shot quality."
field,Finishing,Standard_G/SoT,Goals per Shot on Target,Number of goals scored per standard shot on target made by the player.,False,"Goal threat and shot efficiency — e.g., goals, shots, shots on target, shot quality."
field,Finishing,Standard_Dist,Average Shot Distance,The average distance of shots attempted by the player.,False,"Goal threat and shot efficiency — e.g., goals, shots, shots on target, shot quality."
field,Finishing,Standard_FK,Free Kick Shots,The number of free-kick shots attempted by the player.,False,"Goal threat and shot efficiency — e.g., goals, shots, shots on target, shot quality."
field,Penalty,Standard_PK,Penalties Scored,The number of penalty kicks scored by the player.,False,“Penalty-taking ability — accuracy and reliability from the spot.”
field,Penalty,Standard_PKatt,Penalties Attempted,The number of penalty kicks attempted by the player.,False,“Penalty-taking ability — accuracy and reliability from the spot.”
field,Finishing,Expected_xG,Expected Goals (xG),"Expected Goals, i.e., the number of expected goals based on statistics.",False,"Goal threat and shot efficiency — e.g., goals, shots, shots on target, shot quality."
field,Finishing,Expected_npxG,Non-Penalty xG,"Non-Penalty Expected Goals, expected goals excluding penalties.",False,"Goal threat and shot efficiency — e.g., goals, shots, shots on target, shot quality."
field,Finishing,Expected_npxG/Sh,Non-Penalty xG per Shot,Non-Penalty Expected Goals per shot attempted.,False,"Goal threat and shot efficiency — e.g., goals, shots, shots on target, shot quality."
field,Finishing,Expected_G-xG,Goals - xG,The difference between the actual number of goals and Expected Goals.,False,"Goal threat and shot efficiency — e.g., goals, shots, shots on target, shot quality."
field,Finishing,Expected_np:G-xG,Non-Penalty Goals - xG,The difference between the actual number of non-penalty goals and Expected Goals.,False,"Goal threat and shot efficiency — e.g., goals, shots, shots on target, shot quality."
both,Passing,Total_Cmp,Passes Completed,The total number of passes completed by the player.,False,"Creating chances for teammates through passing — e.g., assists, key passes, dangerous final balls."
both,Passing,Total_Att,Passes Attempted,The total number of passes attempted by the player.,False,"Creating chances for teammates through passing — e.g., assists, key passes, dangerous final balls."
